tag
Film location
Geothermal park
Glacier
Dolphins
Farm or orchard
Marine park or reserve
National park
Maori landmark
Museum or Art gallery
Casino
Garden visit or flower show
Glow worms
Native birds
Exhibition or Expo
Important building or site
Natural attraction
Other wildlife
Penguins
Scenic boat trip
Scenic flight
Scenic tour by bus or train
Scuba diving or snorkelling
Seals
See Maori art or crafts being created
Maori artefacts
Theme park or leisure park
Vineyard or wine trail
Visit a Maori marae
Whales
Zoo or wildlife park
