experience
Bar or Nightclub
Beach
Conference or Convention
Live performance
Air activities
Bungy jumping
Canyon Swing
Cycling
Extreme ride
Maori tradition
Maori food
Fishing or hunting
"Walk, hike, trek or tramp"
Gondola or cable car or tram ride
Health spa or day spa
Horse riding or horse trekking
Hot pools
Jet-boating
"Mountain climbing, rock climbing, abseiling, caving"
Other boating
Other water activity such as water-skiing
Playing golf
"Quad biking, 4WD vehicle tour"
"Rafting, canoeing, kayaking"
Rugby
Skiing Snowboarding Snow sport
Swimming or surfing
Maori culture experience
Watching or playing other sport
